Player,Avg Pick
A. Dalton;Cin - QB,122.0
J. Cutler Mia - QB,237.0
M. Jones Jr.;Det - WR,150.0
T. Riddick;Det - RB,117.0
Dustin Hopkins Was - K,228.6666667
W. Snead;NO - WR,153.6666667
S. Shepard;NYG - WR,184.3333333
M. Lee;Jax - WR,148.0
Minnesota;Min - DEF,103.3333333
C. Hyde;SF - RB,25.33333333
J. Reed;Was - TE,39.33333333
P. Perkins;NYG - RB,30.33333333
M. Mariota;Ten - QB,55.66666667
T. Eifert;Cin - TE,132.0
T. Smith;Phi - WR,170.0
M. Evans;TB - WR,22.0
Stephen Hauschka Buf - K,120
New England;NE - DEF,63.66666667
Brandon McManus;Den - K,117
J. Cook;Oak - TE,122
R. Kelley;Was - RB,138.6666667
J. Jones;Atl - WR,3.333333333
J. Matthews;Buf - WR,87.66666667
M. Gordon;LAC - RB,13.0
Dallas;Dal - DEF,118
